Unnamed: 0,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price,Booking_Hour,Booking_DateTime,Booking_Slot,Lead_Time_Days,Duration_mins,Route
57,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-768,15:30,20:45,5h 15m,1 stop,11206,14,23-06-2022 14:00,Afternoon,1,315,Delhi -> Bangalore
58,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-781,15:20,18:15,2h 55m,non-stop,11362,2,23-06-2022 02:00,Night,1,175,Delhi -> Bangalore
59,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-817,16:05,18:50,2h 45m,non-stop,11940,13,23-06-2022 13:00,Afternoon,1,165,Delhi -> Bangalore
60,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2015,18:30,21:15,2h 45m,non-stop,12758,16,23-06-2022 16:00,Afternoon,1,165,Delhi -> Bangalore
61,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-2962,06:15,19:25,13h 10m,1 stop,12638,3,23-06-2022 03:00,Night,1,790,Delhi -> Bangalore
62,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-813,17:35,20:25,2h 50m,non-stop,12990,17,23-06-2022 17:00,Evening,1,170,Delhi -> Bangalore
63,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-8185,09:25,16:50,7h 25m,1 stop,13383,7,23-06-2022 07:00,Morning,1,445,Delhi -> Bangalore
64,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-1529,09:35,12:25,2h 50m,non-stop,13829,3,23-06-2022 03:00,Night,1,170,Delhi -> Bangalore
65,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-819,14:15,16:50,2h 35m,non-stop,14355,1,23-06-2022 01:00,Night,1,155,Delhi -> Bangalore
66,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-809,19:50,22:40,2h 50m,non-stop,14355,5,23-06-2022 05:00,Morning,1,170,Delhi -> Bangalore
67,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-502,13:30,16:15,2h 45m,non-stop,14880,21,23-06-2022 21:00,Night,1,165,Delhi -> Bangalore
68,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-857,18:45,21:40,2h 55m,non-stop,14879,9,23-06-2022 09:00,Morning,1,175,Delhi -> Bangalore
69,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-865,10:00,18:20,8h 20m,1 stop,14985,3,23-06-2022 03:00,Night,1,500,Delhi -> Bangalore
70,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-665,08:00,18:20,10h 20m,1 stop,14985,21,23-06-2022 21:00,Night,1,620,Delhi -> Bangalore
71,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-887,07:00,18:20,11h 20m,1 stop,14985,17,23-06-2022 17:00,Evening,1,680,Delhi -> Bangalore
72,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-935,18:00,21:50,3h 50m,1 stop,15295,11,23-06-2022 11:00,Morning,1,230,Delhi -> Bangalore
73,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,17:45,4h 55m,1 stop,15295,1,23-06-2022 01:00,Night,1,295,Delhi -> Bangalore
74,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-951,14:20,19:15,4h 55m,1 stop,15295,9,23-06-2022 09:00,Morning,1,295,Delhi -> Bangalore
75,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-2513,16:55,21:40,4h 45m,1 stop,15194,3,23-06-2022 03:00,Night,1,285,Delhi -> Bangalore
76,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,17:45,6h 5m,1 stop,15295,13,23-06-2022 13:00,Afternoon,1,365,Delhi -> Bangalore
77,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,19:15,6h 25m,1 stop,15295,15,23-06-2022 15:00,Afternoon,1,385,Delhi -> Bangalore
78,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-995,10:20,17:45,7h 25m,1 stop,15295,14,23-06-2022 14:00,Afternoon,1,445,Delhi -> Bangalore
79,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,19:15,7h 35m,1 stop,15295,7,23-06-2022 07:00,Morning,1,455,Delhi -> Bangalore
80,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-2513,16:55,"00:20
+1D",7h 25m,1 stop,15194,13,23-06-2022 13:00,Afternoon,1,445,Delhi -> Bangalore
81,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-927,09:30,17:45,8h 15m,1 stop,15295,22,23-06-2022 22:00,Night,1,495,Delhi -> Bangalore
82,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-995,10:20,19:15,8h 55m,1 stop,15295,7,23-06-2022 07:00,Morning,1,535,Delhi -> Bangalore
83,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-943,07:30,17:45,10h 15m,1 stop,15295,20,23-06-2022 20:00,Evening,1,615,Delhi -> Bangalore
84,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-927,09:30,19:15,9h 45m,1 stop,15295,15,23-06-2022 15:00,Afternoon,1,585,Delhi -> Bangalore
85,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-605,21:15,"07:50
+1D",10h 35m,1 stop,15300,12,23-06-2022 12:00,Afternoon,1,635,Delhi -> Bangalore
86,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-975,05:55,17:45,11h 50m,1 stop,15295,17,23-06-2022 17:00,Evening,1,710,Delhi -> Bangalore
87,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-943,07:30,19:15,11h 45m,1 stop,15295,14,23-06-2022 14:00,Afternoon,1,705,Delhi -> Bangalore
88,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-975,05:55,19:15,13h 20m,1 stop,15295,20,23-06-2022 20:00,Evening,1,800,Delhi -> Bangalore
89,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-941,16:45,"07:50
+1D",15h 5m,1 stop,15295,23,23-06-2022 23:00,Night,1,905,Delhi -> Bangalore
90,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-913,05:55,21:50,15h 55m,1 stop,15295,12,23-06-2022 12:00,Afternoon,1,955,Delhi -> Bangalore
91,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-933,15:30,"07:50
+1D",16h 20m,1 stop,15295,8,23-06-2022 08:00,Morning,1,980,Delhi -> Bangalore
92,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-941,16:45,"08:50
+1D",16h 5m,1 stop,15295,14,23-06-2022 14:00,Afternoon,1,965,Delhi -> Bangalore
93,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-636,15:00,"07:50
+1D",16h 50m,2 stops,15300,12,23-06-2022 12:00,Afternoon,1,1010,Delhi -> Bangalore
94,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-933,15:30,"08:50
+1D",17h 20m,1 stop,15295,0,23-06-2022 00:00,Night,1,1040,Delhi -> Bangalore
95,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-951,14:20,"07:50
+1D",17h 30m,1 stop,15295,6,23-06-2022 06:00,Morning,1,1050,Delhi -> Bangalore
96,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,"07:50
+1D",19h 0m,1 stop,15295,8,23-06-2022 08:00,Morning,1,1140,Delhi -> Bangalore
97,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-951,14:20,"08:50
+1D",18h 30m,1 stop,15295,23,23-06-2022 23:00,Night,1,1110,Delhi -> Bangalore
98,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,"07:50
+1D",20h 10m,1 stop,15295,0,23-06-2022 00:00,Night,1,1210,Delhi -> Bangalore
99,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,"08:50
+1D",20h 0m,1 stop,15295,11,23-06-2022 11:00,Morning,1,1200,Delhi -> Bangalore
100,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-995,10:20,"07:50
+1D",21h 30m,1 stop,15295,7,23-06-2022 07:00,Morning,1,1290,Delhi -> Bangalore
101,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,"08:50
+1D",21h 10m,1 stop,15295,23,23-06-2022 23:00,Night,1,1270,Delhi -> Bangalore
102,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-927,09:30,"07:50
+1D",22h 20m,1 stop,15295,10,23-06-2022 10:00,Morning,1,1340,Delhi -> Bangalore
103,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-805,20:00,"07:50
+1D",11h 50m,1 stop,15510,18,23-06-2022 18:00,Evening,1,710,Delhi -> Bangalore
104,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-624,19:00,"07:50
+1D",12h 50m,1 stop,15510,16,23-06-2022 16:00,Afternoon,1,770,Delhi -> Bangalore
105,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-441,17:55,"07:50
+1D",13h 55m,2 stops,15510,7,23-06-2022 07:00,Morning,1,835,Delhi -> Bangalore
106,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-605,21:15,"11:10
+1D",13h 55m,1 stop,15510,2,23-06-2022 02:00,Night,1,835,Delhi -> Bangalore
107,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-636,15:00,"11:10
+1D",20h 10m,2 stops,15510,2,23-06-2022 02:00,Night,1,1210,Delhi -> Bangalore
108,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-605,21:15,"18:20
+1D",21h 5m,1 stop,15510,0,23-06-2022 00:00,Night,1,1265,Delhi -> Bangalore
109,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-859,10:25,"08:45
+1D",22h 20m,1 stop,15402,4,23-06-2022 04:00,Night,1,1340,Delhi -> Bangalore
110,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-636,15:00,"18:20
+1D",27h 20m,2 stops,15510,9,23-06-2022 09:00,Morning,1,1640,Delhi -> Bangalore
111,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,18:15,5h 25m,1 stop,15612,6,23-06-2022 06:00,Morning,1,325,Delhi -> Bangalore
112,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,18:15,6h 35m,1 stop,15612,8,23-06-2022 08:00,Morning,1,395,Delhi -> Bangalore
113,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-995,10:20,18:15,7h 55m,1 stop,15612,6,23-06-2022 06:00,Morning,1,475,Delhi -> Bangalore
114,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-963,08:50,17:45,8h 55m,1 stop,15612,8,23-06-2022 08:00,Morning,1,535,Delhi -> Bangalore
115,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-927,09:30,18:15,8h 45m,1 stop,15612,7,23-06-2022 07:00,Morning,1,525,Delhi -> Bangalore
116,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-943,07:30,18:15,10h 45m,1 stop,15612,11,23-06-2022 11:00,Morning,1,645,Delhi -> Bangalore
117,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-963,08:50,19:15,10h 25m,1 stop,15612,1,23-06-2022 01:00,Night,1,625,Delhi -> Bangalore
118,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-975,05:55,18:15,12h 20m,1 stop,15612,0,23-06-2022 00:00,Night,1,740,Delhi -> Bangalore
119,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-805,20:00,"11:10
+1D",15h 10m,1 stop,15720,15,23-06-2022 15:00,Afternoon,1,910,Delhi -> Bangalore
120,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-624,19:00,"11:10
+1D",16h 10m,1 stop,15720,22,23-06-2022 22:00,Night,1,970,Delhi -> Bangalore
121,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-441,17:55,"11:10
+1D",17h 15m,2 stops,15720,22,23-06-2022 22:00,Night,1,1035,Delhi -> Bangalore
122,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-805,20:00,"18:20
+1D",22h 20m,1 stop,15720,23,23-06-2022 23:00,Night,1,1340,Delhi -> Bangalore
123,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-624,19:00,"18:20
+1D",23h 20m,1 stop,15720,4,23-06-2022 04:00,Night,1,1400,Delhi -> Bangalore
124,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-441,17:55,"18:20
+1D",24h 25m,2 stops,15720,2,23-06-2022 02:00,Night,1,1465,Delhi -> Bangalore
125,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-637,17:10,"18:15
+1D",25h 5m,1 stop,15610,11,23-06-2022 11:00,Morning,1,1505,Delhi -> Bangalore
126,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-165,05:20,11:40,6h 20m,1 stop,16034,7,23-06-2022 07:00,Morning,1,380,Delhi -> Bangalore
127,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-941,16:45,23:10,6h 25m,1 stop,16032,21,23-06-2022 21:00,Night,1,385,Delhi -> Bangalore
128,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-933,15:30,23:10,7h 40m,1 stop,16032,2,23-06-2022 02:00,Night,1,460,Delhi -> Bangalore
129,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-951,14:20,23:10,8h 50m,1 stop,16032,0,23-06-2022 00:00,Night,1,530,Delhi -> Bangalore
130,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-963,08:50,18:15,9h 25m,1 stop,15929,2,23-06-2022 02:00,Night,1,565,Delhi -> Bangalore
131,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-993,12:50,23:10,10h 20m,1 stop,16032,4,23-06-2022 04:00,Night,1,620,Delhi -> Bangalore
132,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-945,11:40,23:10,11h 30m,1 stop,16032,14,23-06-2022 14:00,Afternoon,1,690,Delhi -> Bangalore
133,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-995,10:20,23:10,12h 50m,1 stop,16032,13,23-06-2022 13:00,Afternoon,1,770,Delhi -> Bangalore
134,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-927,09:30,23:10,13h 40m,1 stop,16032,2,23-06-2022 02:00,Night,1,820,Delhi -> Bangalore
135,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-943,07:30,23:10,15h 40m,1 stop,16032,0,23-06-2022 00:00,Night,1,940,Delhi -> Bangalore
136,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-975,05:55,23:10,17h 15m,1 stop,16032,4,23-06-2022 04:00,Night,1,1035,Delhi -> Bangalore
137,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-899,14:45,"08:45
+1D",18h 0m,1 stop,15927,22,23-06-2022 22:00,Night,1,1080,Delhi -> Bangalore
138,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-963,08:50,23:10,14h 20m,1 stop,16349,13,23-06-2022 13:00,Afternoon,1,860,Delhi -> Bangalore
139,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-975,05:55,10:45,4h 50m,1 stop,16557,6,23-06-2022 06:00,Morning,1,290,Delhi -> Bangalore
140,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-863,14:00,"07:50
+1D",17h 50m,1 stop,16560,8,23-06-2022 08:00,Morning,1,1070,Delhi -> Bangalore
141,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-863,14:00,"11:10
+1D",21h 10m,1 stop,16770,14,23-06-2022 14:00,Afternoon,1,1270,Delhi -> Bangalore
142,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-933,15:30,20:55,5h 25m,1 stop,17607,14,23-06-2022 14:00,Afternoon,1,325,Delhi -> Bangalore
143,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-951,14:20,20:55,6h 35m,1 stop,17607,9,23-06-2022 09:00,Morning,1,395,Delhi -> Bangalore
144,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-724,09:35,19:30,9h 55m,1 stop,17447,12,23-06-2022 12:00,Afternoon,1,595,Delhi -> Bangalore
145,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-741,09:40,16:20,6h 40m,1 stop,19600,18,23-06-2022 18:00,Evening,1,400,Delhi -> Bangalore
